idx,abs_rel,d1,rmse
1174,3.192113,0.000000,6.772978
1175,2.810609,0.000000,6.320771
1176,3.726418,0.000000,7.170346
1179,2.984455,0.000000,6.341255
1180,2.678557,0.000000,6.154907
1181,2.477491,0.003370,5.766035
1182,2.393357,0.000000,5.879779
1183,2.468088,0.000000,6.369326
1184,2.195304,0.000000,6.181870
1192,2.076830,0.000000,5.961066
1193,1.836989,0.000000,5.752847
1194,1.956215,0.000000,6.154991
1195,2.487609,0.000000,6.060510
1196,4.117745,0.000000,6.907482
1201,2.779763,0.000000,6.305960
1202,2.669867,0.000000,6.673071
1203,2.741419,0.000000,5.905042
1204,1.661551,0.006849,4.965187
1205,1.965564,0.010815,5.711698
1206,1.204837,0.062140,4.815626
1207,2.085829,0.019823,5.821718
1208,2.118659,0.038787,4.715418
1209,1.974296,0.000000,5.494724
1210,2.289808,0.020485,6.063381
1211,2.327324,0.000000,6.037257
1212,2.171243,0.000000,5.724833
1216,2.010912,0.000000,5.622395
1217,1.927138,0.000000,5.586513
1218,2.136157,0.000000,6.010267
1219,1.789475,0.015929,5.689393
1220,1.727031,0.003324,5.446379
1226,2.198486,0.000000,6.012314
1227,2.163954,0.034608,5.748923
1228,2.422993,0.000000,5.951140
1229,1.982719,0.000000,5.356542
1230,2.424770,0.000000,5.941290
1233,2.798503,0.000000,6.184728
1234,2.542582,0.000000,6.019753
1235,2.471074,0.000000,6.179781
1247,1.776853,0.000000,5.657533
1248,1.924614,0.000000,5.179747
1249,3.043304,0.000000,6.272921
1250,1.647682,0.000000,5.747205
1254,1.578187,0.000000,4.750775
1255,1.405574,0.042585,5.071803
1256,1.298347,0.033761,4.842027
1257,1.544767,0.018469,5.320552
1258,2.112639,0.000000,5.576685
1259,1.957406,0.000000,5.262604
1260,1.787349,0.000000,5.325892
1261,1.721328,0.000000,5.188810
1262,1.907744,0.000000,6.063036
1263,1.552570,0.006673,5.175001
1264,3.425348,0.000000,6.955017
1265,1.369260,0.044442,5.159339
1275,1.873206,0.017316,5.345460
1276,1.416762,0.117073,4.476331
1277,1.668055,0.006837,5.129426
1278,2.121248,0.063380,4.728745
1279,1.825320,0.000000,5.468204
1280,1.341136,0.011976,4.836657
1285,2.482480,0.000000,6.597177
1286,1.884524,0.000000,5.428861
1287,2.332092,0.000000,5.662133
1288,1.931351,0.000000,5.678673
1289,1.696858,0.000000,5.255968
1290,2.070849,0.000000,5.792786
1291,1.654286,0.006984,5.177198
1292,1.257420,0.083761,4.648916
1293,1.898859,0.000000,5.957291
1294,2.845859,0.000000,6.322879
1295,2.410854,0.000000,6.126117
1297,2.422369,0.000000,6.355423
1298,2.166856,0.000000,5.402982
1299,1.941527,0.000000,5.793047
1302,1.409586,0.000000,5.246778
1303,2.053651,0.000000,6.037449
1304,1.388237,0.029347,4.896229
1305,1.677090,0.000390,5.479167
1306,2.409305,0.049656,5.197499
1307,2.717608,0.000071,6.336407
1308,1.603687,0.000000,5.087769
1314,3.234976,0.000000,6.391387
1315,2.373303,0.000700,5.998731
1329,2.495507,0.000000,6.031311
1330,2.182462,0.000000,6.438594
1331,1.699720,0.000000,5.717228
1332,2.620984,0.000000,6.398329
1335,1.157021,0.015782,4.743545
1336,1.536198,0.000000,4.949968
1337,1.848108,0.062341,5.403935
